track_id,frame,x,y
0,0,136,368
0,1,155,373
1,0,136,286
1,1,138,289
1,2,140,286
1,3,142,289
1,4,145,283
1,5,146,290
1,6,167,294
1,7,174,297
1,8,180,289
1,9,182,293
2,0,118,326
2,1,123,330
2,2,140,342
3,0,145,153
3,1,146,141
3,2,149,140
3,3,151,139
3,4,162,135
3,5,166,126
3,6,170,125
3,7,172,126
3,8,174,122
3,9,176,122
3,10,177,116
3,11,180,126
3,12,182,116
3,13,186,114
3,14,198,104
3,15,201,95
3,16,203,101
3,17,205,99
3,18,208,103
3,19,210,97
3,20,196,98
4,0,188,502
4,1,191,504
4,2,204,502
4,3,220,502
4,4,229,497
4,5,231,499
4,6,232,503
4,7,235,496
4,8,246,495
4,9,251,496
4,10,263,492
4,11,264,489
4,12,268,492
4,13,274,493
4,14,276,495
4,15,278,488
4,16,280,488
4,17,282,486
4,18,285,480
4,19,287,480
4,20,288,488
4,21,289,487
4,22,291,485
4,23,293,481
4,24,295,483
4,25,297,485
4,26,301,479
4,27,303,475
4,28,305,482
4,29,307,482
4,30,311,484
4,31,296,475
4,32,298,471
5,0,207,300
5,1,211,298
5,2,213,296
5,3,216,301
5,4,236,304
6,0,224,82
7,0,182,135
7,1,186,140
7,2,189,131
8,0,263,304
8,1,265,301
8,2,269,307
8,3,273,309
8,4,275,305
9,0,269,73
9,1,271,73
9,2,273,73
9,3,275,73
9,4,277,73
9,5,279,73
9,6,281,73
9,7,283,73
9,8,285,73
9,9,287,74
10,0,241,400
11,0,292,497
12,0,307,396
12,1,298,386
13,0,313,74
13,1,315,74
13,2,317,74
13,3,322,74
13,4,324,74
13,5,327,74
13,6,329,74
13,7,331,74
13,8,333,73
13,9,335,74
13,10,337,74
13,11,339,74
13,12,341,74
13,13,343,74
13,14,345,74
13,15,347,74
13,16,351,74
13,17,353,74
13,18,355,74
13,19,357,74
13,20,359,74
13,21,361,74
13,22,363,74
14,0,325,409
15,0,358,406
16,0,347,372
17,0,364,471
17,1,354,451
18,0,342,344
18,1,345,345
19,0,391,461
19,1,393,465
19,2,395,459
19,3,397,457
19,4,404,459
19,5,408,463
19,6,410,455
19,7,412,453
20,0,390,337
20,1,392,337
20,2,394,331
20,3,399,331
20,4,406,323
20,5,408,327
20,6,410,327
20,7,412,321
20,8,414,323
21,0,400,73
21,1,402,73
21,2,404,73
21,3,406,73
21,4,408,73
21,5,410,73
21,6,412,73
21,7,414,73
22,0,386,368
23,0,390,319
24,0,437,308
25,0,441,74
25,1,443,74
25,2,444,74
25,3,447,74
25,4,450,74
25,5,452,74
25,6,454,74
25,7,456,74
25,8,458,74
25,9,460,74
25,10,462,74
25,11,465,74
25,12,467,74
25,13,469,74
25,14,471,74
25,15,473,74
25,16,475,74
25,17,477,74
25,18,479,74
25,19,483,74
25,20,485,74
25,21,487,74
25,22,489,74
25,23,491,74
26,0,443,456
26,1,445,452
26,2,447,452
26,3,452,448
26,4,454,444
26,5,456,444
26,6,437,441
26,7,439,443
26,8,462,445
26,9,466,451
26,10,463,437
26,11,465,433
26,12,467,433
26,13,469,428
26,14,471,434
27,0,460,450
27,1,443,443
28,0,467,282
28,1,472,281
28,2,474,273
28,3,475,273
28,4,477,278
28,5,479,270
28,6,482,267
28,7,484,271
28,8,487,266
28,9,489,264
29,0,429,498
30,0,504,125
31,0,476,496
32,0,490,297
